1995	Allison  	   1		  987		74.82	
1995	Erin     	   2		  973		97.84	
1995	Felix    	   4		  929		138.12	
1995	Humberto 	   2		  968		109.35	
1995	Iris     	   2		  965		109.35	
1995	Luis     	   4		  945		149.63	
1995	Marilyn  	   3		  949		115.10	
1995	Noel     	   1		  987		74.82	
1995	Opal     	   4		  916		149.63	
1995	Roxanne  	   3		  956		115.10	
1995	Tanya    	   1		  972		86.33	
1996	Bertha   	   3		  960		115.10	
1996	Cesar    	   1		  985		86.33	
1996	Dolly    	   1		  989		80.57	
1996	Edouard  	   4		  933		143.88	
1996	Fran     	   3		  946		120.86	
1996	Hortense 	   4		  935		138.12	
1996	Isidore  	   3		  960		115.10	
1996	Lili     	   3		  960		115.10	
1996	Marco    	   1		  983		74.82	
1997	Bill     	   1		  986		74.82	
1997	Danny    	   1		  984		80.57	
1997	Erika    	   3		  946		126.61	
1998	Bonnie   	   3		  954		115.10	
1998	Danielle 	   1		  960		80.57	
1998	Earl     	   1		  985		92.08	
1998	Georges  	   4		  937		155.39	
1998	Ivan     	   1		  975		92.08	
1998	Jeanne   	   2		  969		103.59	
1998	Karl     	   2		  970		103.59	
1998	Lisa     	   1		  995		74.82	
1998	Mitch    	   5		  905		178.41	
1998	Nicole   	   1		  979		86.33	
1999	Bret     	   4		  944		143.88	
1999	Cindy    	   4		  942		138.12	
1999	Dennis   	   2		  962		103.59	
1999	Floyd    	   4		  921		155.39	
1999	Gert     	   4		  930		149.63	
1999	Irene    	   2		  958		109.35	
1999	Jose     	   2		  979		97.84	
1999	Lenny    	   4		  933		155.39	
2000	Alberto  	   3		  950		126.61	
2000	Debby    	   1		  991		86.33	
2000	Florence 	   1		  985		80.57	
2000	Gordon   	   1		  981		80.57	
2000	Isaac    	   4		  943		138.12	
2000	Joyce    	   1		  975		92.08	
2000	Keith    	   4		  939		138.12	
2000	Michael  	   2		  965		97.84	
2001	Erin     	   3		  968		120.86	
2001	Felix    	   3		  962		115.10	
2001	Gabrielle	   1		  975		80.57	
2001	Humberto 	   2		  970		103.59	
2001	Iris     	   4		  948		143.88	
2001	Karen    	   1		  982		80.57	
2001	Michelle 	   4		  933		138.12	
2001	Noel     	   1		  986		74.82	
2001	Olga     	   1		  973		92.08	
2002	Gustav   	   1		  960		92.08	
2002	Isidore  	   3		  934		126.61	
2002	Kyle     	   1		  980		86.33	
2002	Lili     	   4		  938		143.88	
2003	Claudette	   1		  979		92.08	
2003	Danny    	   1		 1000		74.82	
2003	Erika    	   1		  986		74.82	
2003	Fabian   	   4		  939		143.88	
2003	Isabel   	   5		  915		166.90	
2003	Juan     	   2		  969		103.59	
2003	Kate     	   3		  952		126.61	
2004	Alex     	   3		  957		120.86	
2004	Charley  	   4		  941		149.63	
2004	Danielle 	   2		  964		109.35	
2004	Frances  	   4		  935		143.88	
2004	Gaston   	   1		  985		74.82	
2004	Ivan     	   5		  910		166.90	
2004	Jeanne   	   3		  950		120.86	
2004	Karl     	   4		  938		143.88	
2004	Lisa     	   1		  987		74.82	
2005	Cindy    	   1		  991		74.82	
2005	Dennis   	   4		  930		149.63	
2005	Emily    	   5		  929		161.14	
2005	Irene    	   2		  970		103.59	
2005	Katrina  	   5		  902		172.65	
2005	Maria    	   3		  962		115.10	
2005	Nate     	   1		  979		92.08	
2005	Ophelia  	   1		  976		86.33	
2005	Philippe 	   1		  985		80.57	
2005	Rita     	   5		  895		178.41	
2005	Stan     	   1		  977		80.57	
2005	Vince    	   1		  988		74.82	
2005	Wilma    	   5		  882		184.16	
2005	Beta     	   3		  962		115.10	
2005	Epsilon  	   1		  981		86.33	
2006	Ernesto  	   1		  992		74.82	
2006	Florence 	   1		  974		92.08	
2006	Gordon   	   3		  955		120.86	
2006	Helene   	   3		  955		120.86	
2006	Isaac    	   1		  985		86.33	
2007	Dean     	   5		  905		172.65	
2007	Felix    	   5		  929		172.65	
2007	Humberto 	   1		  985		92.08	
2007	Karen    	   1		  988		74.82	
2007	Lorenzo  	   1		  990		80.57	
2007	Noel     	   1		  980		80.57	
2008	Bertha   	   3		  952		126.61	
2008	Dolly    	   2		  963		97.84	
2008	Gustav   	   4		  941		155.39	
2008	Hanna    	   1		  977		86.33	
2008	Ike      	   4		  935		143.88	
2008	Kyle     	   1		  984		80.57	
2008	Omar     	   4		  958		132.37	
2008	Paloma   	   2		  970		97.84	
2009	Bill     	   4		  943		132.37	
2009	Fred     	   3		  958		120.86	
2009	Ida      	   2		  975		103.59	
2010	Alex     	   2		  946		109.35	
2010	Danielle 	   4		  942		132.37	
2010	Earl     	   4		  927		143.88	
2010	Igor     	   4		  924		155.39	
2010	Julia    	   4		  948		138.12	
